id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,latency_ms,answered,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ.,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,3,"token_overlap=0.67, unsupported_numbers=[]",4,query_answer_overlap=0.67,5,Retrieved: 1/1 expected sources,2,"expected_overlap=0.27, missing_numbers=['15']",11748.826999999437,True,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=1.00, missing_numbers=[]",3018.487199999072,True,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phải phê duyệt của Line Manager, IT Admin và IT Security.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.80, missing_numbers=[]",3095.5725999992865,True,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số không được hoàn tiền. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"token_overlap=1.00, unsupported_numbers=['1']",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.33, missing_numbers=[]",2726.6538000003493,True,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=1.00,5,Retrieved: 1/1 expected sources,5,"expected_overlap=1.00, missing_numbers=[]",2997.88289999924,True,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Khi xảy ra sự cố P1, quy trình escalation khẩn cấp được thực hiện như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (max 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

[1] it/access-control-sop.md | Section 4: Escalation khi cần thay đổi quyền hệ thống",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"token_overlap=0.86, unsupported_numbers=[]",3,query_answer_overlap=0.40,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.38, missing_numbers=['10']",3244.642499998008,True,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tôi không thể tìm thấy thông tin về tài liệu ""Approval Matrix"" trong các đoạn văn bạn cung cấp. Tuy nhiên, tài liệu ""it/access-control-sop.md"" được đề cập đến trong các đoạn văn có thể liên quan đến quy trình cấp quyền hệ thống.",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"token_overlap=0.46, unsupported_numbers=[]",5,query_answer_overlap=0.88,5,Retrieved: 1/1 expected sources,2,"expected_overlap=0.42, missing_numbers=[]",2808.650099999795,True,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày/tuần.,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"token_overlap=1.00, unsupported_numbers=[]",5,query_answer_overlap=0.88,5,Retrieved: 1/1 expected sources,5,"expected_overlap=0.41, missing_numbers=[]",2750.949400000536,True,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi không xác định quyền truy cập. 

Để xử lý, bạn cần kiểm tra phân cấp quyền truy cập (Level 1-4) và yêu cầu tăng quyền truy cập nếu cần thiết.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"token_overlap=0.40, unsupported_numbers=['403']",4,query_answer_overlap=0.67,,No expected sources,5,"expected_overlap=0.16, missing_numbers=[]",2832.4823000002652,True,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không biết thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong văn bản cung cấp.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"token_overlap=0.56, unsupported_numbers=[]",5,query_answer_overlap=0.75,5,Retrieved: 1/1 expected sources,1,"expected_overlap=0.25, missing_numbers=['3', '5']",2822.8525999984413,True,baseline_dense
